intern_id,role_type,has_completed_examples,conflicting_instructions,workflow_clarity,hesitation_score,mentor_sync_freq,primary_bottleneck,friction_score,time_to_deliverable_days,at_risk_label
INT-1001,Data & ML,0,1,2,4,5,Fear of Obvious Questions & Guesswork,5.8,7.1,0
INT-1002,Marketing Tech,1,0,3,2,1,Delayed Mentor Access / Blockers,1.0,1.5,0
INT-1003,UI/UX Design,0,0,4,3,2,Tool Setup & File Access,2.8,4.0,0
INT-1004,Data & ML,1,1,4,4,3,Conflicting Guidance from Leads,2.5,4.5,0
INT-1005,Software Engineering,1,1,2,3,1,Conflicting Guidance from Leads,4.7,5.7,0
INT-1006,Software Engineering,0,0,2,2,2,Unclear Day-to-Day Workflow,3.3,5.6,0
INT-1007,Software Engineering,0,0,2,3,3,Unclear Day-to-Day Workflow,4.0,6.4,0
INT-1008,Product Ops,1,1,4,3,5,Conflicting Guidance from Leads,1.0,1.5,0
INT-1009,UI/UX Design,0,0,1,2,0,Unclear Day-to-Day Workflow,4.9,8.6,0
INT-1010,UI/UX Design,0,0,2,3,5,Unclear Day-to-Day Workflow,3.6,6.0,0
INT-1011,Software Engineering,0,1,3,4,2,Fear of Obvious Questions & Guesswork,7.1,8.8,1
INT-1012,Marketing Tech,0,1,3,3,1,Conflicting Guidance from Leads,5.4,7.8,0
INT-1013,Product Ops,1,1,2,3,2,Conflicting Guidance from Leads,4.1,5.1,0
INT-1014,Software Engineering,1,0,3,3,5,Tool Setup & File Access,1.0,2.5,0
INT-1015,Software Engineering,1,1,3,2,2,Conflicting Guidance from Leads,1.0,1.7,0
INT-1016,Software Engineering,1,0,3,1,1,Delayed Mentor Access / Blockers,1.0,2.6,0
INT-1017,Software Engineering,1,0,5,2,2,Tool Setup & File Access,1.0,3.6,0
INT-1018,Data & ML,0,1,2,4,1,Fear of Obvious Questions & Guesswork,8.5,10.7,1
INT-1019,Data & ML,1,1,2,4,0,Conflicting Guidance from Leads,5.8,7.3,0
INT-1020,Software Engineering,1,1,4,5,0,Conflicting Guidance from Leads,4.7,4.9,0
INT-1021,UI/UX Design,1,1,5,5,0,Conflicting Guidance from Leads,3.9,3.9,0
INT-1022,Software Engineering,1,1,4,4,1,Conflicting Guidance from Leads,4.0,4.6,0
